2/12/2016
4:08 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Annealed
Sample width [inch]:,0.499000
Sample thickness [inch]:,0.119000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.07360,2641.0
0.07373,2643.4
0.07386,2644.9
0.07399,2644.9
0.07410,2647.2
0.07425,2647.2
0.07437,2649.3
0.07449,2650.7
0.07462,2652.7
0.07475,2653.3
0.07488,2655.0
0.07499,2655.9
0.07512,2657.1
0.07523,2658.4
0.07536,2659.9
0.07548,2661.9
0.07561,2662.1
0.07575,2663.4
0.07589,2664.3
0.07602,2666.1
0.07614,2667.4
0.07626,2669.7
0.07638,2670.6
0.07652,2671.9
0.07667,2673.3
0.07677,2674.9
0.07691,2675.6
0.07703,2676.8
0.07717,2679.1
0.07732,2680.3
0.07743,2681.2
0.07757,2682.4
0.07770,2683.1
0.07785,2684.8
0.07797,2686.5
0.07809,2686.8
0.07822,2688.6
0.07837,2690.4
0.07849,2690.6
0.07863,2692.2
0.07875,2694.2
0.07888,2694.2
0.07901,2695.0
0.07915,2696.5
0.07927,2698.9
0.07941,2699.0
0.07954,2700.1
0.07967,2701.4
0.07979,2702.5
0.07993,2703.3
0.08005,2705.3
0.08018,2707.2
0.08033,2707.4
0.08043,2709.8
0.08057,2710.3
0.08072,2711.5
0.08084,2712.9
0.08096,2713.1
0.08107,2714.9
0.08121,2716.6
0.08134,2717.7
0.08148,2719.6
0.08160,2720.6
0.08175,2721.1
0.08187,2722.1
0.08200,2724.5
0.08212,2723.4
0.08224,2725.1
0.08237,2727.1
0.08251,2728.1
0.08264,2727.9
0.08277,2730.2
0.08289,2731.0
0.08300,2731.8
0.08314,2732.0
0.08326,2733.9
0.08338,2734.7
0.08350,2736.3
0.08364,2736.0
0.08374,2738.9
0.08386,2737.4
0.08399,2739.0
0.08409,2741.1
0.08422,2742.7
0.08434,2744.3
0.08447,2745.7
0.08458,2747.6
0.08472,2748.2
0.08482,2749.1
0.08496,2749.7
0.08508,2751.9
0.08519,2754.0
0.08531,2753.9
0.08543,2754.2
0.08556,2755.5
0.08569,2755.9
0.08581,2758.5
0.08592,2759.7
0.08607,2761.2
0.08617,2761.7
0.08629,2762.5
0.08643,2764.7
0.08657,2765.9
0.08668,2765.1
0.08680,2767.9
0.08694,2768.9
0.08704,2769.8
0.08719,2770.3
0.08733,2771.6
0.08745,2772.8
0.08758,2775.2
0.08771,2775.9
0.08784,2776.9
0.08797,2778.0
0.08809,2778.5
