2/12/2016
3:59 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Cold Rolled
Sample width [inch]:,0.496000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00251,1955.2
0.00252,1963.0
0.00254,1970.5
0.00255,1978.2
0.00254,1986.2
0.00256,1993.5
0.00257,2001.3
0.00259,2009.8
0.00260,2017.8
0.00260,2024.2
0.00262,2031.0
0.00264,2039.8
0.00265,2047.4
0.00266,2055.4
0.00267,2063.1
0.00268,2070.4
0.00268,2079.0
0.00270,2085.7
0.00271,2094.0
0.00273,2101.7
0.00273,2109.3
0.00273,2116.7
0.00276,2125.3
0.00276,2131.8
0.00279,2138.9
0.00278,2147.5
0.00279,2153.9
0.00281,2162.7
0.00282,2170.4
0.00282,2178.5
0.00283,2186.0
0.00285,2194.1
0.00285,2201.6
0.00288,2208.5
0.00288,2217.1
0.00289,2224.9
0.00291,2233.5
0.00292,2240.6
0.00293,2249.0
0.00294,2256.0
0.00294,2263.3
0.00296,2272.8
0.00298,2280.6
0.00298,2287.9
0.00300,2295.5
0.00301,2303.8
0.00301,2310.8
0.00303,2318.3
0.00304,2327.6
0.00306,2335.4
0.00309,2342.9
0.00308,2351.1
0.00310,2359.8
0.00310,2366.4
0.00311,2375.4
0.00312,2382.3
0.00314,2390.0
0.00316,2398.4
0.00317,2406.8
0.00318,2414.8
0.00320,2423.4
0.00321,2431.5
0.00322,2438.8
0.00323,2446.2
0.00325,2454.4
0.00326,2463.2
0.00328,2470.4
0.00327,2479.3
0.00330,2486.5
0.00331,2495.4
0.00331,2503.7
0.00333,2510.8
0.00334,2518.8
0.00335,2527.4
0.00337,2535.0
0.00339,2543.5
0.00340,2550.9
0.00340,2559.2
0.00344,2567.2
0.00344,2574.9
0.00345,2582.8
0.00345,2591.2
0.00349,2598.9
0.00349,2607.1
0.00349,2617.1
0.00353,2623.8
0.00354,2631.6
0.00354,2639.3
0.00357,2646.9
0.00358,2656.3
0.00359,2663.8
0.00360,2672.7
0.00361,2679.9
0.00362,2688.9
0.00364,2696.9
0.00366,2703.4
0.00367,2712.3
0.00368,2720.7
0.00371,2729.2
0.00371,2736.4
0.00372,2744.8
0.00373,2754.4
0.00376,2762.5
0.00375,2768.9
0.00378,2776.9
0.00379,2785.0
0.00379,2792.6
0.00383,2800.8
0.00382,2808.8
0.00385,2817.0
0.00387,2826.8
0.00387,2835.5
0.00387,2843.3
0.00389,2849.8
0.00391,2857.4
0.00393,2865.8
0.00393,2874.8
0.00395,2881.4
0.00397,2890.9
0.00398,2899.1
0.00399,2906.7
0.00402,2915.2
0.00403,2923.1
0.00405,2931.1
0.00406,2939.0
0.00409,2947.8
0.00409,2955.0
0.00411,2963.4
0.00413,2970.9
0.00413,2979.2
0.00415,2986.4
0.00416,2994.9
0.00418,3005.3
0.00419,3012.6
0.00421,3020.2
0.00423,3028.0
0.00424,3037.0
0.00426,3045.0
0.00428,3053.4
0.00428,3061.9
0.00430,3070.5
0.00432,3078.1
0.00432,3086.3
0.00434,3093.9
0.00436,3102.4
0.00437,3110.6
0.00440,3118.6
0.00440,3127.4
0.00443,3135.2
0.00442,3143.0
0.00445,3152.8
0.00446,3161.6
0.00448,3168.9
0.00451,3178.1
0.00452,3186.1
0.00455,3193.8
0.00455,3201.4
0.00455,3209.1
0.00458,3219.3
0.00459,3226.5
0.00462,3234.7
0.00464,3242.4
0.00464,3252.3
0.00467,3259.2
0.00468,3268.4
0.00470,3276.8
0.00471,3284.1
0.00475,3292.7
0.00475,3301.0
0.00476,3310.3
0.00478,3318.1
0.00480,3324.8
0.00481,3331.8
0.00483,3340.4
0.00485,3349.0
0.00486,3356.0
0.00488,3364.5
0.00491,3372.0
0.00493,3380.5
0.00494,3389.0
0.00497,3396.4
0.00498,3405.2
0.00499,3413.9
0.00502,3421.4
0.00503,3428.4
0.00505,3437.9
0.00507,3446.4
0.00508,3454.2
0.00508,3461.2
0.00511,3469.9
0.00514,3478.4
0.00516,3485.1
0.00517,3494.0
0.00520,3502.7
0.00521,3510.2
0.00523,3519.5
0.00526,3526.9
0.00526,3535.6
0.00530,3543.0
0.00531,3551.7
0.00532,3560.2
0.00536,3567.8
0.00536,3576.5
0.00538,3582.9
0.00539,3590.7
0.00542,3598.2
0.00543,3607.3
0.00545,3615.8
0.00547,3622.6
0.00548,3630.3
0.00551,3637.6
0.00554,3646.7
0.00554,3655.2
0.00557,3663.0
0.00558,3670.5
0.00561,3678.0
0.00563,3685.7
0.00564,3694.4
0.00567,3701.7
0.00570,3709.7
0.00571,3717.1
0.00573,3725.7
0.00575,3733.8
0.00577,3742.4
0.00579,3751.0
0.00582,3758.7
0.00583,3766.3
0.00587,3774.4
0.00589,3782.9
0.00589,3791.5
0.00592,3798.8
0.00594,3807.2
0.00597,3816.6
0.00600,3823.2
0.00600,3829.9
0.00603,3839.2
0.00606,3848.0
0.00609,3857.1
0.00611,3863.8
0.00611,3871.4
0.00615,3880.3
0.00618,3886.2
0.00620,3895.1
0.00622,3904.5
0.00624,3911.5
0.00625,3919.4
0.00629,3927.1
0.00630,3934.6
0.00634,3942.5
0.00634,3949.4
0.00636,3956.3
0.00640,3964.7
0.00643,3972.0
0.00645,3980.0
0.00646,3986.9
0.00651,3993.8
0.00651,4001.8
0.00655,4008.9
0.00657,4015.1
0.00659,4021.2
0.00659,4027.8
0.00663,4032.8
0.00665,4040.7
0.00668,4046.7
0.00670,4053.6
0.00671,4061.5
0.00673,4067.1
0.00676,4073.7
0.00678,4079.2
0.00679,4085.1
0.00682,4089.9
0.00684,4095.4
0.00686,4101.9
0.00689,4105.3
0.00690,4110.0
0.00690,4116.0
0.00693,4120.5
0.00696,4126.2
0.00698,4130.0
0.00699,4135.8
0.00701,4138.6
0.00702,4142.9
0.00703,4148.0
0.00704,4150.5
0.00707,4155.2
0.00709,4159.3
0.00710,4164.4
0.00711,4167.5
0.00713,4171.3
0.00715,4173.8
0.00718,4177.9
0.00718,4181.1
0.00719,4185.1
0.00720,4188.7
0.00720,4191.3
0.00726,4196.4
0.00724,4198.1
0.00728,4202.2
0.00728,4205.4
0.00731,4210.1
0.00730,4213.5
0.00732,4217.8
0.00734,4220.5
0.00736,4225.5
0.00738,4228.9
0.00738,4232.6
0.00741,4236.4
0.00741,4240.4
0.00743,4243.7
0.00745,4246.6
0.00746,4250.4
0.00748,4253.8
0.00749,4257.6
0.00750,4262.6
0.00751,4267.0
0.00754,4269.6
0.00755,4274.3
0.00756,4277.8
0.00760,4283.7
0.00762,4287.2
0.00763,4291.3
0.00764,4297.0
0.00766,4300.4
0.00768,4304.4
0.00769,4308.3
0.00771,4313.9
0.00773,4318.1
0.00775,4321.3
0.00776,4326.4
0.00780,4330.1
0.00781,4334.5
0.00783,4338.6
0.00785,4342.3
0.00786,4346.2
0.00789,4350.8
0.00792,4353.9
0.00793,4358.3
0.00795,4362.7
0.00796,4365.7
0.00799,4371.1
0.00800,4375.6
0.00802,4378.9
0.00804,4383.2
0.00806,4388.3
0.00808,4390.7
0.00810,4395.6
0.00813,4400.5
0.00814,4404.7
0.00816,4408.5
0.00819,4412.5
0.00820,4417.0
0.00823,4420.4
0.00826,4425.1
0.00826,4428.8
0.00830,4433.4
0.00833,4436.8
0.00834,4440.8
0.00838,4444.2
0.00837,4447.9
0.00839,4452.3
0.00841,4456.4
0.00845,4460.3
0.00845,4463.4
0.00848,4467.5
0.00849,4471.9
0.00854,4474.9
0.00855,4479.7
0.00856,4482.4
0.00860,4486.7
0.00860,4491.4
0.00863,4495.4
0.00867,4498.2
0.00869,4502.2
0.00871,4506.3
0.00874,4509.7
0.00876,4513.6
0.00878,4515.8
0.00881,4520.4
0.00882,4523.7
0.00885,4527.1
0.00886,4530.4
0.00888,4534.5
0.00891,4538.2
0.00895,4542.0
0.00895,4545.9
0.00899,4549.6
0.00901,4553.4
0.00904,4556.9
0.00907,4559.8
0.00908,4564.3
0.00911,4568.5
0.00914,4571.5
0.00916,4575.5
0.00919,4579.0
0.00921,4583.1
0.00923,4586.2
0.00926,4590.3
0.00929,4593.7
0.00932,4597.0
0.00935,4600.7
0.00938,4604.6
0.00938,4607.5
0.00940,4610.4
0.00945,4614.5
0.00948,4618.9
0.00951,4621.1
0.00952,4625.5
0.00956,4627.9
0.00958,4631.2
0.00962,4634.1
0.00965,4637.0
0.00966,4640.8
0.00968,4643.6
0.00973,4647.1
0.00976,4651.1
0.00979,4654.6
0.00981,4656.7
0.00984,4659.6
0.00987,4663.6
0.00992,4666.2
0.00993,4669.8
0.00997,4673.8
0.00999,4676.0
0.01001,4679.9
0.01004,4683.4
0.01007,4685.6
0.01011,4688.9
