2/12/2016
3:45 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,T6 Aluminum
Sample width [inch]:,0.499000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.03223,2548.4
0.03238,2547.9
0.03252,2548.0
0.03266,2548.3
0.03280,2548.5
0.03296,2548.5
0.03310,2548.2
0.03323,2549.5
0.03337,2549.7
0.03350,2550.5
0.03364,2550.9
0.03377,2550.7
0.03392,2551.6
0.03407,2552.6
0.03420,2552.1
0.03433,2552.9
0.03447,2551.6
0.03462,2552.9
0.03475,2552.7
0.03491,2553.2
0.03505,2553.6
0.03519,2553.4
0.03532,2553.9
0.03544,2554.0
0.03561,2555.1
0.03574,2555.1
0.03584,2554.2
0.03600,2555.0
0.03613,2554.8
0.03627,2556.4
0.03642,2556.7
0.03655,2555.9
0.03668,2557.4
0.03682,2555.6
0.03696,2557.0
0.03710,2557.4
0.03725,2557.4
0.03736,2557.9
0.03751,2559.0
0.03765,2558.3
0.03779,2559.0
0.03792,2559.7
0.03808,2558.9
0.03821,2559.3
0.03834,2559.4
0.03849,2558.8
0.03860,2559.2
0.03873,2559.9
0.03887,2560.5
0.03902,2561.6
0.03915,2561.4
0.03929,2561.3
0.03944,2561.2
0.03957,2561.8
0.03971,2562.1
0.03984,2561.5
0.03998,2561.2
0.04010,2561.9
0.04023,2561.6
0.04038,2563.3
0.04051,2563.8
0.04064,2563.0
0.04077,2563.0
0.04091,2563.7
0.04106,2562.6
0.04118,2564.5
0.04132,2564.3
0.04146,2564.5
0.04160,2564.4
0.04173,2564.1
0.04186,2565.3
0.04200,2565.4
0.04213,2565.6
0.04227,2565.4
0.04241,2566.2
0.04253,2566.1
0.04267,2565.9
0.04280,2565.5
0.04292,2566.9
0.04307,2566.7
0.04320,2567.0
0.04334,2567.2
0.04346,2567.3
0.04360,2567.7
0.04375,2568.2
0.04388,2569.7
0.04402,2568.7
0.04415,2568.6
0.04428,2568.8
0.04440,2568.6
0.04453,2569.7
0.04468,2569.5
0.04480,2569.0
0.04494,2569.2
0.04508,2569.7
0.04521,2570.1
0.04532,2571.4
0.04547,2571.0
0.04560,2570.0
0.04572,2570.9
0.04586,2570.6
0.04600,2571.6
0.04611,2571.9
0.04625,2571.2
0.04638,2573.2
0.04653,2573.3
0.04667,2574.7
0.04682,2574.5
0.04698,2575.7
0.04713,2576.3
0.04727,2576.5
0.04745,2576.1
0.04760,2576.1
0.04777,2576.5
0.04792,2577.2
0.04809,2577.3
0.04826,2577.4
0.04843,2577.6
0.04858,2577.6
0.04875,2577.4
0.04890,2578.0
0.04908,2577.9
0.04922,2578.4
0.04940,2578.9
0.04958,2579.1
0.04973,2579.8
0.04991,2578.8
0.05006,2580.2
0.05022,2580.6
0.05038,2579.8
0.05055,2580.4
0.05072,2580.3
0.05088,2580.3
0.05105,2580.6
0.05121,2581.5
0.05135,2580.4
0.05152,2581.9
0.05168,2581.1
0.05186,2582.5
0.05201,2583.0
0.05217,2582.0
0.05233,2582.6
0.05251,2583.7
0.05267,2583.9
0.05282,2584.6
0.05300,2583.6
0.05313,2584.5
0.05332,2584.6
0.05347,2584.7
0.05364,2584.6
0.05380,2584.9
0.05395,2585.6
0.05411,2586.0
0.05428,2585.6
0.05443,2585.9
0.05460,2586.0
0.05476,2586.5
0.05492,2585.4
0.05509,2586.4
0.05524,2588.4
0.05540,2588.1
0.05556,2587.6
0.05572,2589.4
0.05590,2589.1
0.05606,2589.3
0.05620,2590.1
0.05636,2590.0
0.05654,2589.4
0.05670,2590.3
0.05687,2590.5
0.05703,2590.7
0.05718,2590.6
0.05736,2591.4
0.05751,2591.7
0.05767,2592.4
0.05784,2591.7
0.05798,2591.4
0.05816,2592.0
0.05830,2592.9
0.05848,2593.7
0.05865,2592.5
0.05880,2594.4
0.05896,2594.5
0.05912,2593.0
0.05927,2594.5
0.05942,2594.5
0.05959,2595.8
0.05975,2595.1
0.05990,2595.0
0.06006,2596.3
0.06021,2596.3
0.06036,2595.6
0.06053,2596.8
0.06070,2596.2
0.06086,2597.0
0.06101,2597.5
0.06117,2596.7
0.06134,2597.5
0.06150,2598.1
0.06164,2598.7
0.06180,2598.8
0.06196,2599.2
0.06211,2599.1
0.06227,2599.4
0.06244,2598.9
0.06261,2600.0
0.06275,2600.7
0.06291,2600.2
0.06305,2600.4
0.06322,2602.0
0.06337,2600.9
0.06352,2601.2
0.06367,2600.6
0.06385,2602.0
0.06400,2603.8
0.06417,2604.3
0.06431,2603.1
0.06447,2602.4
0.06464,2603.0
0.06476,2603.0
0.06492,2602.8
0.06508,2604.6
0.06525,2604.5
0.06539,2604.7
0.06555,2604.7
0.06573,2606.1
0.06587,2606.0
0.06601,2605.9
0.06617,2606.4
0.06634,2606.3
0.06651,2606.3
0.06666,2607.7
0.06682,2607.1
0.06698,2608.0
0.06714,2607.4
0.06730,2608.1
0.06745,2608.4
0.06760,2609.6
0.06776,2609.1
0.06792,2608.6
0.06808,2609.3
0.06824,2609.7
0.06840,2611.3
0.06857,2609.2
0.06872,2611.1
0.06888,2610.6
0.06902,2611.2
0.06920,2611.1
0.06935,2611.0
0.06948,2612.2
0.06964,2612.8
0.06978,2612.7
0.06994,2612.2
0.07009,2612.7
0.07026,2612.9
0.07041,2614.2
0.07057,2614.1
0.07072,2614.2
0.07088,2615.0
0.07103,2615.2
0.07121,2614.8
0.07134,2615.4
0.07151,2616.2
0.07167,2616.8
0.07182,2616.9
0.07198,2616.3
0.07213,2615.9
0.07227,2616.8
0.07242,2615.8
0.07257,2617.2
0.07273,2616.7
0.07290,2616.5
0.07304,2617.1
0.07319,2617.8
0.07334,2618.3
0.07349,2618.1
0.07365,2618.7
0.07380,2619.8
0.07396,2620.5
0.07412,2618.9
0.07427,2620.3
0.07443,2620.0
0.07458,2621.1
0.07474,2620.2
0.07489,2620.8
0.07504,2620.7
